2,000728,国元证券,详情 数据 股吧,8.81,9.31%,1.35亿,16.52%,1.08亿,13.24%,2680.11万,3.28%,-7205.11万,-8.81%,-6307.94万,-7.71%,券商信托
3,601211,国泰君安,详情 数据 股吧,16.98,1.86%,1.20亿,16.89%,8258.52万,11.58%,3788.42万,5.31%,-6260.64万,-8.78%,-5786.30万,-8.11%,券商信托
4,000776,广发证券,详情 数据 股吧,14.52,2.04%,1.17亿,15.77%,7222.02万,9.77%,4429.30万,5.99%,-6137.75万,-8.31%,-5513.57万,-7.46%,券商信托
5,601688,华泰证券,详情 数据 股吧,18.69,1.36%,1.10亿,6.31%,9300.69万,5.35%,1668.21万,0.96%,-6540.05万,-3.76%,-4428.85万,-2.55%,券商信托
6,601236,红塔证券,详情 数据 股吧,17.74,2.78%,9919.03万,8.28%,9167.82万,7.65%,751.21万,0.63%,-5769.64万,-4.81%,-4149.39万,-3.46%,券商信托
7,601878,浙商证券,详情 数据 股吧,10.48,2.75%,6526.90万,7.81%,3258.92万,3.90%,3267.98万,3.91%,-3989.68万,-4.77%,-2537.22万,-3.03%,券商信托
8,600155,华创阳安,详情 数据 股吧,12.64,3.86%,5775.00万,13.79%,3541.39万,8.46%,2233.61万,5.33%,-1891.18万,-4.52%,-3883.82万,-9.27%,券商信托
9,601108,财通证券,详情 数据 股吧,10.22,1.39%,5766.72万,6.48%,3578.80万,4.02%,2187.91万,2.46%,-2544.02万,-2.86%,-3222.69万,-3.62%,券商信托
10,600837,海通证券,详情 数据 股吧,13.94,1.31%,4778.97万,4.53%,1906.15万,1.81%,2872.82万,2.72%,-1794.12万,-1.70%,-2984.86万,-2.83%,券商信托
11,600816,安信信托,详情 数据 股吧,3.12,5.76%,4599.73万,9.23%,5548.14万,11.13%,-948.42万,-1.90%,-1341.29万,-2.69%,-3258.43万,-6.54%,券商信托
12,600061,国投资本,详情 数据 股吧,13.23,1.38%,3826.42万,8.71%,2082.75万,4.74%,1743.67万,3.97%,-1728.26万,-3.93%,-2098.16万,-4.78%,券商信托
13,600999,招商证券,详情 数据 股吧,17.69,1.49%,3194.06万,8.41%,1076.96万,2.84%,2117.10万,5.58%,-1808.24万,-4.76%,-1385.82万,-3.65%,券商信托
14,601099,太平洋,详情 数据 股吧,3.34,1.52%,3087.16万,7.24%,1894.05万,4.44%,1193.11万,2.80%,-1030.61万,-2.42%,-2056.54万,-4.82%,券商信托
15,601788,光大证券,详情 数据 股吧,11.66,1.75%,2832.34万,8.61%,416.75万,1.27%,2415.59万,7.34%,-1222.19万,-3.71%,-1610.15万,-4.89%,券商信托
16,600621,华鑫股份,详情 数据 股吧,12.78,2.00%,2615.05万,8.81%,918.42万,3.10%,1696.64万,5.72%,-632.43万,-2.13%,-1982.62万,-6.68%,券商信托
17,600958,东方证券,详情 数据 股吧,9.52,1.82%,2532.92万,6.97%,652.86万,1.80%,1880.07万,5.17%,-938.85万,-2.58%,-1594.07万,-4.39%,券商信托
18,002673,西部证券,详情 数据 股吧,8.57,1.18%,2338.03万,8.40%,1506.81万,5.41%,831.22万,2.99%,-1118.74万,-4.02%,-1219.30万,-4.38%,券商信托
19,000783,长江证券,详情 数据 股吧,6.37,1.59%,2235.95万,6.56%,2008.81万,5.90%,227.14万,0.67%,-639.31万,-1.88%,-1596.64万,-4.69%,券商信托
20,600109,国金证券,详情 数据 股吧,8.36,2.33%,2223.66万,6.22%,421.29万,1.18%,1802.36万,5.04%,255.10万,0.71%,-2478.75万,-6.93%,券商信托
21,601377,兴业证券,详情 数据 股吧,6.57,1.23%,2144.83万,5.83%,738.79万,2.01%,1406.04万,3.82%,-388.90万,-1.06%,-1755.93万,-4.77%,券商信托
22,600864,哈投股份,详情 数据 股吧,6.87,1.33%,1634.43万,6.00%,1738.33万,6.38%,-103.90万,-0.38%,-627.66万,-2.30%,-1006.77万,-3.70%,券商信托
23,601066,中信建投,详情 数据 股吧,32.44,0.78%,1526.69万,0.73%,-1564.77万,-0.74%,3091.46万,1.47%,-2484.55万,-1.18%,957.86万,0.46%,券商信托
24,601901,方正证券,详情 数据 股吧,7.75,1.31%,1438.22万,3.19%,-802.24万,-1.78%,2240.46万,4.97%,-165.88万,-0.37%,-1272.33万,-2.82%,券商信托
25,601881,中国银河,详情 数据 股吧,10.40,1.27%,1293.76万,3.42%,1389.98万,3.68%,-96.22万,-0.25%,-369.36万,-0.98%,-924.40万,-2.45%,券商信托
