
10.44%,2.94%,97.00%,3.62,28.40%,0.10次,72.36%,2.14亿,7.55亿,7.55亿,77.8亿,56.3亿,77.8亿,7.61亿,5.00亿,59.5亿,18.3亿,7.55亿,3.73亿,7763万,1.95亿,--,1263万,--,162万,--,--,3512万,641万,4792万,1105万,4.63亿,--,144万,1108,--,1226万,5990万,4386万,245万,14.5万,5431万,--,1.87亿,5427万,22.5亿,4.91亿,--,4.78亿,﻿多元金融300309
4.34%,3.23%,59.68%,3.21,13.72%,0.24次,68.82%,11.6亿,84.3亿,84.3亿,685亿,471亿,685亿,101亿,21.5亿,323亿,362亿,84.3亿,3.58亿,16.0亿,50.6亿,--,16.2亿,3.44亿,671万,--,--,--,151万,1.79亿,9.96万,1.07亿,34.8亿,--,12.8亿,--,--,1501万,--,2416万,525万,16.0亿,--,8572万,2.25亿,--,2.75亿,34.1亿,61.1亿,﻿多元金融002423
7.61%,1.29%,52.47%,5.83,46.93%,0.03次,82.84%,115亿,245亿,245亿,8864亿,7343亿,8864亿,298亿,53.8亿,4866亿,3998亿,245亿,4.25亿,22.9亿,1968亿,--,4.81亿,21.0亿,1.59亿,--,--,--,6579万,25.0亿,9078万,7881万,106亿,2731万,31.3亿,--,--,1.41亿,3.51亿,5353万,405万,21.9亿,--,108亿,36.1亿,--,4186万,1.28亿,535亿,﻿多元金融000617
6.58%,4.84%,100.91%,1.21,121.47%,0.04次,17.53%,4415万,3634万,3634万,8.90亿,1.56亿,8.90亿,9288万,4866万,5.08亿,3.82亿,3634万,528万,3845万,1.07亿,--,2038万,2838万,88.7万,--,--,--,4.26万,320万,671万,999万,1.50亿,--,2811万,--,--,38.1万,2142万,439万,85.0万,3174万,--,131万,13,--,--,1.48亿,7380万,﻿多元金融900919
-47.32%,-4.80%,90.31%,12.17,-175.02%,0.03次,91.78%,-2.12亿,1.21亿,1.21亿,39.2亿,36.0亿,39.2亿,1.22亿,3.12亿,30.0亿,9.18亿,1.21亿,2.85亿,3112万,5.79亿,--,1741万,60.4万,72.6万,--,--,--,1.68万,-425万,-62.9万,1593万,--,--,20.1万,--,677万,1689万,4508万,110万,12.2万,2498万,--,1.45亿,9440万,2277万,451万,366万,16.6亿,﻿多元金融300023
0.11%,0.87%,6.68%,1.41,5.38%,0.16次,29.04%,166万,3082万,3082万,1.94亿,5623万,1.94亿,3083万,2834万,7823万,1.15亿,3082万,2082万,527万,5900万,--,6.47万,--,53.7万,--,--,--,1.01万,159万,-7.98万,1551万,--,--,--,--,97.6万,32.6万,1.14亿,--,13.3万,437万,--,68.4万,2.15万,270万,9.82万,4.77万,64.6万,﻿多元金融600817
11.77%,1.40%,90.55%,5.34,33.19%,0.04次,81.27%,27.5亿,83.0亿,83.0亿,1821亿,1480亿,1821亿,123亿,72.1亿,1419亿,402亿,83.0亿,8.96亿,52.8亿,181亿,--,1.18亿,-1.16亿,3.41亿,--,--,--,558万,6.67亿,18.6亿,12.7亿,118亿,29.9亿,41.0亿,--,7622万,3.09亿,114亿,8345万,2718万,33.4亿,--,8.84亿,28.2亿,615亿,28.4亿,11.8亿,6.19亿,﻿多元金融000046
3.64%,2.91%,100.00%,1.28,51.83%,0.06次,21.94%,1.53亿,2.96亿,2.96亿,54.7亿,12.0亿,54.7亿,2.97亿,1.21亿,39.7亿,15.1亿,2.96亿,--,9787万,13.7亿,--,12.4万,124万,159万,--,--,--,420万,1905万,3358万,--,1.03亿,--,-387万,--,--,193万,--,--,200万,6429万,--,602万,311万,--,--,--,9.51亿,﻿多元金融000567
4.39%,3.22%,31.39%,1.61,16.26%,0.20次,37.92%,11.9亿,73.0亿,73.0亿,348亿,132亿,348亿,74.9亿,61.6亿,244亿,104亿,73.0亿,28.0亿,29.8亿,67.7亿,--,4.09亿,--,5571万,--,--,--,-4457万,3.23亿,3.13亿,15.4亿,34.4亿,8.68亿,2.28亿,--,1.21亿,5.23亿,--,7615万,-7.19万,25.4亿,--,13.6亿,5.97亿,9.15亿,2.03亿,2040万,4722万,﻿多元金融000666
-9.51%,-0.59%,192.90%,3.65,-17.58%,0.03次,72.61%,-2021万,1.15亿,1.15亿,33.0亿,24.0亿,33.0亿,1.15亿,1.21亿,8.25亿,24.8亿,1.15亿,5131万,6310万,2.30亿,--,3.52亿,--,94.9万,--,--,--,4999,538万,3953万,678万,--,1.51亿,--,--,--,147万,5544万,2957万,62.4万,2356万,--,111万,675万,--,--,86.6万,14.5万,﻿多元金融600139
10.39%,4.31%,100.27%,2.14,39.38%,0.11次,53.22%,2.25亿,5.72亿,5.72亿,45.2亿,24.1亿,45.2亿,5.60亿,3.36亿,31.0亿,14.2亿,5.72亿,1047万,2.85亿,6.12亿,--,42.8万,-7582万,1201万,--,--,--,23.2万,2746万,3484万,1.18亿,7483万,36.7万,6415万,--,838万,10.6万,2.06亿,1659万,152万,2.42亿,--,3337万,3324万,20.6亿,--,--,8150万,﻿多元金融600053
15.08%,5.31%,70.44%,1.51,41.80%,0.13次,33.95%,3.42亿,8.18亿,8.18亿,67.9亿,23.0亿,67.9亿,8.26亿,4.50亿,21.8亿,46.1亿,8.18亿,2.00亿,1.81亿,1.29亿,--,569万,--,381万,--,--,--,150万,6162万,5793万,8.06亿,6244万,9372万,598万,--,7948万,1535万,4512万,614万,259万,4407万,--,21.9亿,6542万,1001万,918万,3053万,2.07亿,﻿多元金融603300
10.40%,4.84%,98.04%,2.07,7.99%,0.61次,51.60%,7.92亿,99.2亿,99.2亿,176亿,90.7亿,176亿,99.3亿,90.4亿,165亿,10.3亿,99.2亿,88.2亿,1.38亿,9.75亿,--,226万,--,625万,--,--,--,--,8000万,9245万,2.39亿,3.60亿,--,838万,--,27.5万,19.6亿,6616万,--,3.06万,4491万,--,273万,622万,130万,--,5.14亿,127亿,﻿多元金融600093
6.68%,1.57%,96.95%,4.45,33.12%,0.05次,77.55%,109亿,328亿,328亿,7294亿,5657亿,7294亿,449亿,159亿,--,--,328亿,--,--,1354亿,--,31.3亿,-2.90亿,2.10亿,--,--,--,2875万,36.0亿,--,--,89.3亿,104亿,124亿,--,--,--,13.0亿,--,2311万,--,--,75.9亿,44.4亿,--,3.17亿,--,--,券商信托600030
