时间,营业总收入,营业收入,营业总成本,营业成本,营业税金及附加,管理费用,财务费用,资产减值损失,其他经营收益,加:公允价值变动收益,投资收益,其中:对联营企业和合营企业的投资收益,营业利润,加:营业外收入,减:营业外支出,利润总额,减:所得税费用,净利润,其中:归属于母公司股东的净利润,少数股东损益,扣除非经常性损益后的净利润,每股收益,基本每股收益,稀释每股收益,其他综合收益,归属于母公司股东的其他综合收益,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,所属行业,企业代码
2018-12-31,4799万,4799万,7046万,762.2万,134.1万,--,5309万,-65.73万,906.4万,,-278.2万,9261万,-52.11万,6751万,--,--,12.56万,--,6739万,218.1万,6521万,6502万,18.56万,-2156万,,0.09,0.09,-11170.0万,-11180.000000000002万,2.276万,-4653万,-4674万,20.83万,﻿多元金融,﻿600695
2017-12-31,5007万,5007万,12500.0万,600.0万,144.8万,--,6540万,4977万,236.4万,,4.323万,5663万,-380.7万,3353万,1435万,--,59.81万,--,4727万,23.77万,4704万,4764万,-60.21万,-7135万,,0.07,0.07,-7709万,-7737万,28.45万,-3005万,-2973万,-31.76万,﻿多元金融,﻿600695
2016-12-31,5022万,5022万,10640.0万,1970万,235.2万,207.7万,5877万,1045万,1306万,,-2.464万,3364万,-190.9万,-521.6万,5811万,1760万,41.18万,24.56万,5248万,20.59万,5228万,5307万,-79.41万,-3168万,,0.07,0.07,-10650.0万,-10650.0万,1.286万,-5418万,-5340万,-78.13万,﻿多元金融,﻿600695
2015-12-31,24490.0万,24490.0万,28680.0万,21610.0万,72.51万,1006万,5541万,948.1万,-496.9万,,2.464万,8919万,-1055万,4727万,754.2万,13.69万,693.9万,74.83万,4787万,1.513万,4786万,4826万,-40.49万,1295万,,0.07,0.07,22900.0万,22900.0万,-1.286万,27690.0万,27730.0万,-41.77万,﻿多元金融,﻿600695
2014-12-31,27060.0万,27060.0万,32690.0万,24900.000000000004万,51.11万,1907万,3996万,520.5万,1309万,,--,537.1万,--,-5093万,392.5万,54.93万,255.8万,183.1万,-4956万,--,-4956万,-4956万,--,-5093万,,-0.07,-0.07,15020.0万,15020.0万,--,10069.999999999998万,10069.999999999998万,--,﻿多元金融,﻿600695
