时间,流动资产,货币资金,以公允价值计量且其变动计入当期损益的金融资产,应收票据及应收账款,其中:应收账款,预付款项,其他应收款合计,其中:应收利息,应收股利,其他应收款,一年内到期的非流动资产,其他流动资产,流动资产合计,非流动资产,可供出售金融资产,长期应收款,长期股权投资,投资性房地产,固定资产,无形资产,长期待摊费用,递延所得税资产,其他非流动资产,非流动资产合计,资产总计,流动负债,短期借款,应付票据及应付账款,其中:应付账款,预收款项,应付职工薪酬,应交税费,其他应付款合计,其中:应付利息,应付股利,其他应付款,一年内到期的非流动负债,流动负债合计,非流动负债,长期借款,递延所得税负债,非流动负债合计,负债合计,所有者权益(或股东权益),实收资本（或股本),资本公积,盈余公积,未分配利润,归属于母公司股东权益合计,少数股东权益,股东权益合计,负债和股东权益合计,行业代码,公司代码
2018-12-31,,9328万,9086万,77.26万,77.26万,91.70万,5295万,20.93万,307.8万,4966万,--,--,5426万,9000万,38300.0万,,13630.0万,7463万,14110.0万,2301万,144.1万,--,2097万,507.9万,13.25,14960.0万,55210.0万,93510.00000000001万,,4986万,121.8万,121.8万,717.4万,117.7万,155.4万,3488万,69.46万,4.989万,3413万,--,11430.0万,21020.0万,,3675万,2802万,6476万,27490.0万,,71110.0万,39280.0万,--,7775万,-61020.0万,65519.99999999999万,498.2万,66020.0万,93510.00000000001万,﻿多元金融,﻿600695
2017-12-31,,22290.0万,371.3万,10.29万,10.29万,255.3万,6772万,--,319.7万,6452万,--,--,--,13620.000000000002万,43570.0万,,33280.0万,12350.000000000002万,13260.0万,516.9万,1999万,--,2383万,899.1万,8.91,15100.0万,79800.0万,123400.0万,,11670.0万,120.1万,120.1万,640.5万,55.48万,137.7万,13440.0万,99.13万,4.989万,13340.0万,--,400.0万,26469.999999999996万,,20900.0万,6397万,27300.0万,53760.0万,,71110.0万,38480.0万,--,7775万,-67520.0万,69390.0万,209.9万,69600.0万,123400.0万,﻿多元金融,﻿600695
2016-12-31,,11870.0万,--,47.10万,47.10万,28.49万,25200.0万,--,513.8万,24690.0万,--,3740万,--,7569万,48460.0万,,44200.0万,5786万,10920.0万,630.9万,2135万,--,2467万,127.7万,--,15169.999999999998万,81430.0万,129900.0万,,18720.0万,129.5万,129.5万,3613万,331.5万,107.0万,5191万,129.7万,4.989万,5057万,240.8万,16580.0万,44920.0万,,2497万,8988万,11490.0万,56400.0万,,71110.0万,38480.0万,--,7775万,-72280.0万,72360.0万,1124万,73490.0万,129900.0万,﻿多元金融,﻿600695
2015-12-31,,15670.0万,2017万,731.6万,731.6万,3063万,14850.000000000002万,--,--,14850.000000000002万,7.970万,--,--,16.53万,36360.0万,,56780.0万,4029万,310.0万,1454万,8839万,147.7万,4781万,134.5万,--,15360.0万,91840.0万,128200.0万,,14310.0万,122.3万,122.3万,893.5万,202.0万,134.3万,4718万,69.85万,4.989万,4643万,--,--,20379.999999999996万,,16370.0万,12580.0万,28950.0万,49330.0万,,71320.0万,39090.0万,803.9万,7775万,-77590.0万,77720.0万,1143万,78860.0万,128200.0万,﻿多元金融,﻿600695
2014-12-31,,2810万,--,6632万,6632万,2665万,3404万,--,--,3404万,751.6万,--,--,--,16259.999999999998万,,30360.0万,--,--,1637万,10080.0万,--,5622万,291.6万,--,--,47990.00000000001万,64250.0万,,16259.999999999998万,910.2万,910.2万,1482万,163.3万,-15570.0万,3698万,36.81万,4.989万,3656万,--,--,6943万,,--,5008万,5008万,11950.0万,,71320.0万,39090.0万,--,7775万,-82410.0万,50790.0万,1505万,52300.00000000001万,64250.0万,﻿多元金融,﻿600695
